id,nodecount,avgversion,attributecount,usercount
64,1,1,4,1
70,2,1.72,32,2
225,1,2,13,1
428,1,2,7,1
775,1,2,13,1
1073,1,1,0,1
1074,3,1,0,1
1124,1,1,0,1
1125,2,1,0,1
1127,1,1,0,1
1155,1,3,66,1
1176,2,1.83,5,2
1178,1,1,0,1
1248,1,4,35,1
1287,1,2,9,1
1297,1,2,7,1
1334,1,1,5,1
1433,1,1.5,14,2
1536,1,1.5,66,2
1565,1,1,0,1
1603,1,2,19,1
1616,1,1,0,1
1617,1,2,5,1
1668,1,1,0,1
2229,1,2,23,1
2291,1,1,2,1
2382,1,2,4,1
2492,1,3.5,88,2
2543,1,5,44,1
