id,nodecount,avgversion,attributecount,usercount,node_int,attribute_int
1531,1,5,1,1,1,1
1532,1,1,0,1,1,0
1551,1,1,1,1,1,1
1583,1,1,0,1,1,0
1584,1,3,0,1,1,0
1636,2,2,0,1,2,0
1637,1,9,4,1,1,4
1789,2,1,0,1,2,0
1839,1,3,0,1,1,0
1840,1,1,0,1,1,0
1841,2,4.5,0,1,2,0
2111,2,1.5,0,1,2,0
